bucket,composite_signal,ci_lower,ci_upper,tweet_count
2026-09-04 18:00:00+00:00,0.14441282242582265,-0.07698857646586098,0.3482091698979565,30
2026-09-04 19:00:00+00:00,0.14877771042763305,-0.008672801319393271,0.30353822927696605,77
2026-09-04 20:00:00+00:00,0.21129134352748385,0.07408356820452044,0.33982492624543953,75
2026-09-04 21:00:00+00:00,0.09888509943250227,-0.019286752549198993,0.2218703394436011,90
2026-09-04 22:00:00+00:00,0.20881894523108943,0.08712542651337092,0.35435051091028597,88
2026-09-04 23:00:00+00:00,0.169078530047282,0.03361395250606576,0.29893699619775776,100
2026-09-05 00:00:00+00:00,0.2139243082673152,0.08056162226352911,0.32276728433493385,84
2026-09-05 01:00:00+00:00,0.26276365156542414,0.14195692562147613,0.3904128185508768,85
2026-09-05 02:00:00+00:00,0.26234087886290286,0.1497594156700852,0.3910593702032107,98
2026-09-05 03:00:00+00:00,0.23955970725846806,0.10945536181000597,0.3560491569740294,87
2026-09-05 04:00:00+00:00,0.16543515055389,0.01355422278502771,0.32577176898216315,89
2026-09-05 05:00:00+00:00,0.25408079009006573,0.119194614493549,0.383849240160646,101
2026-09-05 06:00:00+00:00,0.197936581531285,0.0672132639915774,0.30935078073900807,96
2026-09-05 07:00:00+00:00,0.15132511041462693,0.02587370464655941,0.2847589465452215,91
2026-09-05 08:00:00+00:00,0.045026282215873015,-0.08565410947643985,0.1811065763623896,91
2026-09-05 09:00:00+00:00,0.09478617377122397,-0.05609412278005962,0.24411882688586137,84
2026-09-05 10:00:00+00:00,0.23774088433013374,0.11548761040136465,0.3682444376409764,77
2026-09-05 11:00:00+00:00,0.22635683732186504,0.0862660744792377,0.3653118613073027,94
2026-09-05 12:00:00+00:00,0.09793915284906596,-0.05880899198175302,0.25151944233173346,77
2026-09-05 13:00:00+00:00,0.16112096034056736,0.007687306178242948,0.2813314099340653,74
2026-09-05 14:00:00+00:00,0.16077119220326577,0.0047899458838514914,0.3062109626584517,101
2026-09-05 15:00:00+00:00,0.21685751619005875,0.10774794227488457,0.3314880808481226,78
2026-09-05 16:00:00+00:00,0.2149838850778274,0.10030179520098191,0.3343180143478149,107
2026-09-05 17:00:00+00:00,0.12598101029763456,-0.023624669583107424,0.27492552750989924,90
2026-09-05 18:00:00+00:00,0.16569292261442578,0.05764938666844361,0.27241228360387054,70
2026-09-05 19:00:00+00:00,0.37832519388099445,0.0,1.0,3
